index,raw_X,local_X,Z,C_unwrapped,pass_id
53528,211.7821,14.782100000000014,-2.6791,-219680.4812,2
53608,211.6959,14.695899999999995,-2.6795,-220301.6269,2
53688,211.6093,14.60929999999999,-2.6798,-220926.4355,2
53768,211.5221,14.522099999999995,-2.6802,-221554.9726,2
53848,211.4344,14.43440000000001,-2.6805,-222187.3056,2
53928,211.3461,14.346100000000007,-2.6809,-222823.5043,2
54008,211.2573,14.257299999999987,-2.6812,-223463.6403,2
54088,211.168,14.168000000000006,-2.6816,-224107.7878,2
54168,211.0781,14.078100000000006,-2.6819,-224756.023,2
54248,210.9876,13.987599999999986,-2.6823,-225408.4248,2
54328,210.8965,13.896500000000003,-2.6826,-226065.0746,2
54408,210.8048,13.8048,-2.683,-226726.0565,2
54488,210.7125,13.712500000000006,-2.6833,-227391.4573,2
54568,210.6196,13.619599999999991,-2.6836,-228061.3668,2
54648,210.526,13.52600000000001,-2.684,-228735.8781,2
54728,210.4318,13.43180000000001,-2.6843,-229415.0872,2
54808,210.3369,13.336900000000014,-2.6846,-230099.0936,2
54888,210.2414,13.241399999999999,-2.6849,-230788.0006,2
54968,210.1451,13.145100000000014,-2.6853,-231481.9149,2
55048,210.0482,13.048200000000008,-2.6856,-232180.9474,2
55128,209.9505,12.950500000000005,-2.6859,-232885.2129,2
55208,209.852,12.852000000000004,-2.6862,-233594.8309,2
55288,209.7529,12.752900000000011,-2.6865,-234309.9251,2
55368,209.6529,12.652899999999988,-2.6868,-235030.6245,2
55448,209.5521,12.552099999999996,-2.6871,-235757.0629,2
55528,209.4506,12.450600000000009,-2.6874,-236489.3796,2
55608,209.3481,12.348099999999988,-2.6877,-237227.7196,2
55688,209.2449,12.244900000000001,-2.688,-237972.2342,2
55768,209.1407,12.14070000000001,-2.6883,-238723.0807,2
55848,209.0357,12.035699999999991,-2.6886,-239480.4237,2
55928,208.9297,11.929699999999997,-2.6889,-240244.4346,2
56008,208.8228,11.8228,-2.6892,-241015.2927,2
56088,208.7149,11.7149,-2.6895,-241793.1856,2
56168,208.606,11.605999999999995,-2.6897,-242578.3093,2
56248,208.496,11.49600000000001,-2.69,-243370.8694,2
56328,208.385,11.384999999999991,-2.6903,-244171.0812,2
56408,208.2729,11.272899999999993,-2.6906,-244979.1707,2
56488,208.1597,11.159699999999987,-2.6908,-245795.3753,2
56568,208.0454,11.0454,-2.6911,-246619.9444,2
56648,207.9298,10.9298,-2.6914,-247453.1406,2
56728,207.813,10.812999999999988,-2.6916,-248295.2405,2
56808,207.6949,10.69489999999999,-2.6919,-249146.5357,2
56888,207.5755,10.575500000000005,-2.6922,-250007.3341,2
56968,207.4547,10.454700000000003,-2.6924,-250877.9614,2
57048,207.3326,10.332600000000014,-2.6927,-251758.7621,2
57128,207.2089,10.2089,-2.6929,-252650.1014,2
57208,207.0838,10.083799999999997,-2.6932,-253552.3667,2
57288,206.957,9.956999999999994,-2.6934,-254465.9701,2
57368,206.8287,9.828699999999998,-2.6937,-255391.35,2
57448,206.6986,9.698599999999999,-2.6939,-256328.9738,2
57528,206.5668,9.5668,-2.6941,-257279.3409,2
57608,206.4331,9.433099999999996,-2.6944,-258242.9852,2
57688,206.2976,9.297599999999989,-2.6946,-259220.4793,2
57768,206.16,9.159999999999997,-2.6948,-260212.4381,2
57848,206.0203,9.020299999999992,-2.6951,-261219.5233,2
57928,205.8784,8.8784,-2.6953,-262242.4487,2
58008,205.7342,8.734199999999987,-2.6955,-263281.9861,2
58088,205.5876,8.587600000000009,-2.6958,-264338.972,2
58168,205.4384,8.438400000000001,-2.696,-265414.3157,2
58248,205.2866,8.286599999999993,-2.6962,-266509.0081,2
58328,205.1319,8.131900000000002,-2.6964,-267624.1328,2
58408,204.9742,7.974199999999996,-2.6966,-268760.8783,2
58488,204.8134,7.8134000000000015,-2.6969,-269920.5531,2
